944	17.2165	3.67522	5.82728	4.47208e-07	-2.23619e-07	0.125	0.5	3.99997	
960	17.6743	3.4829	5.9515	4.71469e-07	-1.66484e-07	0.125	0.5	3.99997	
976	18.1525	3.3488	6.07572	4.88464e-07	-1.06784e-07	0.125	0.5	3.99997	
992	18.6435	3.27497	6.19995	4.97931e-07	-4.54388e-08	0.125	0.5	3.99997	
1008	19.1399	3.26255	0.0409845	4.99724e-07	1.66072e-08	0.125	0.5	3.99997	
1024	19.6341	3.31174	0.165208	4.93816e-07	7.83972e-08	0.125	0.5	3.99997	
1040	20.1183	3.42177	0.289432	4.80297e-07	1.38979e-07	0.125	0.5	3.99997	
1056	20.5852	3.59095	0.413655	4.59375e-07	1.97419e-07	0.125	0.5	3.99997	
1072	21.0275	3.81668	0.537879	4.31374e-07	2.52816e-07	0.125	0.5	3.99997	
1088	21.4384	4.09547	0.662102	3.96725e-07	3.04317e-07	0.125	0.5	3.99997	
1104	21.8116	4.42303	0.786326	3.55962e-07	3.51128e-07	0.125	0.5	3.99997	
1120	22.1414	4.79431	0.91055	3.09713e-07	3.92528e-07	0.125	0.5	3.99997	
1136	22.4226	5.20358	1.03477	2.5869e-07	4.27878e-07	0.125	0.5	3.99997	
1152	22.6509	5.64455	1.159	2.03681e-07	4.56633e-07	0.125	0.5	3.99997	
1168	22.8229	6.11041	1.28322	1.45532e-07	4.78352e-07	0.125	0.5	3.99997	
1184	22.9358	6.59398	1.40744	8.51412e-08	4.92698e-07	0.125	0.5	3.99997	
1200	22.9879	7.08782	1.53167	2.34377e-08	4.9945e-07	0.125	0.5	3.99997	
1216	22.9784	7.5843	1.65589	-3.8627e-08	4.98506e-07	0.125	0.5	3.99997	
1232	22.9075	8.07579	1.78011	-1.00096e-07	4.89878e-07	0.125	0.5	3.99997	
1248	22.7762	8.5547	1.90434	-1.60023e-07	4.73701e-07	0.125	0.5	3.99997	
1264	22.5866	9.01365	2.02856	-2.17484e-07	4.50223e-07	0.125	0.5	3.99997	
1280	22.3416	9.44557	2.15279	-2.71592e-07	4.19807e-07	0.125	0.5	3.99997	
1296	22.0449	9.84381	2.27701	-3.21515e-07	3.8292e-07	0.125	0.5	3.99997	
1312	21.7012	10.2022	2.40123	-3.66483e-07	3.40132e-07	0.125	0.5	3.99997	
1328	21.3158	10.5153	2.52546	-4.05803e-07	2.92102e-07	0.125	0.5	3.99997	
1344	20.8945	10.7782	2.64968	-4.38869e-07	2.39571e-07	0.125	0.5	3.99997	
1360	20.4439	10.9868	2.7739	-4.65171e-07	1.83347e-07	0.125	0.5	3.99997	
1376	19.9709	11.1381	2.89813	-4.84304e-07	1.24297e-07	0.125	0.5	3.99997	
1392	19.4828	11.2295	3.02235	-4.95973e-07	6.33323e-08	0.125	0.5	3.99997	
1408	18.9872	11.2598	3.14657	-4.99998e-07	1.39105e-09	0.125	0.5	3.99997	
1424	18.4916	11.2284	3.2708	-4.96318e-07	-6.05716e-08	0.125	0.5	3.99997	
1440	18.0037	11.1359	3.39502	-4.84988e-07	-1.21601e-07	0.125	0.5	3.99997	
1456	17.531	10.9836	3.51925	-4.66184e-07	-1.80756e-07	0.125	0.5	3.99997	
1472	17.0809	10.774	3.64347	-4.40195e-07	-2.37125e-07	0.125	0.5	3.99997	
1488	16.6602	10.5102	3.76769	-4.07422e-07	-2.8984e-07	0.125	0.5	3.99997	
1504	16.2754	10.1963	3.89192	-3.6837e-07	-3.38088e-07	0.125	0.5	3.99997	
1520	15.9325	9.83708	4.01614	-3.23641e-07	-3.81125e-07	0.125	0.5	3.99997	
1536	15.6368	9.4382	4.14036	-2.73924e-07	-4.18289e-07	0.125	0.5	3.99997	
1552	15.3927	9.00574	4.26459	-2.19985e-07	-4.49006e-07	0.125	0.5	3.99997	
1568	15.2041	8.54637	4.38881	-1.62656e-07	-4.72803e-07	0.125	0.5	3.99997	
1584	15.0739	8.06717	4.51303	-1.02821e-07	-4.89314e-07	0.125	0.5	3.99997	
1600	15.004	7.57553	4.63726	-4.14001e-08	-4.98283e-07	0.125	0.5	3.99997	
1616	14.9956	7.07903	4.76148	2.06583e-08	-4.99573e-07	0.125	0.5	3.99997	
1632	15.0488	6.58531	4.8857	8.23984e-08	-4.93164e-07	0.125	0.5	3.99997	
1648	15.1628	6.10198	5.00993	1.42869e-07	-4.79154e-07	0.125	0.5	3.99997	
1664	15.3358	5.6365	5.13415	2.01137e-07	-4.5776e-07	0.125	0.5	3.99997	
