0	8	4	0.740905	0	0	0	0	0	0	
100	7.9909	3.32051	5.92125	7.23566e-08	-3.52814e-08	0	0.0805	80500	0	
200	8.11098	3.25018	5.57449	6.26681e-08	-5.05268e-08	0	0.0805	80500	0	
300	8.19957	3.36035	0.975756	4.02469e-08	6.97168e-08	0	0.0805	80500	0	
400	9.33824	3.03219	0.677601	6.86328e-08	4.20689e-08	0	0.0805	80500	0	
500	9.70596	3.30305	0.224954	7.86026e-08	1.73748e-08	0	0.0805	80500	0	
600	10.4045	3.04862	0.58061	7.44994e-08	3.04973e-08	0	0.0805	80500	0	
700	10.9814	3.9113	2.52177	-6.55066e-08	4.67882e-08	0	0.0805	80500	0	
800	10.6661	3.95689	1.25697	6.85373e-09	8.02077e-08	0	0.0805	80500	0	
900	11.3146	4.11031	1.52791	3.56145e-09	8.04212e-08	0	0.0805	80500	0	
1000	11.7613	4.69863	2.49116	-7.28982e-08	3.41481e-08	0	0.0805	80500	0	
1100	12.9834	4.78774	1.50304	-3.75978e-11	8.05e-08	0	0.0805	80500	0	
1200	13.377	5.21031	2.16872	-4.23783e-08	6.84421e-08	0	0.0805	80500	0	
1300	13.2473	5.85864	1.31993	2.30235e-08	7.71373e-08	0	0.0805	80500	0	
1400	13.5211	5.50033	0.923031	3.84715e-08	7.07121e-08	0	0.0805	80500	0	
1500	13.4087	5.91964	6.17068	7.40449e-08	-3.15847e-08	0	0.0805	80500	0	
1600	13.8918	5.55804	2.14042	-2.99454e-08	7.4723e-08	0	0.0805	80500	0	
1700	13.7184	5.87068	2.37507	-6.33695e-08	4.96442e-08	0	0.0805	80500	0	
1800	13.8755	4.84852	4.02133	-5.12893e-08	-6.20456e-08	0	0.0805	80500	0	
1900	12.8168	5.80265	2.33057	-5.05593e-08	6.26419e-08	0	0.0805	80500	0	
2000	12.8042	6.4324	1.8815	-2.78486e-08	7.55295e-08	0	0.0805	80500	0	
