0	8	4	0.740905	0	0	0	0	0	0	
100	8.15757	4.45279	1.74091	-1.28338e-08	7.94704e-08	0.161	0.0805	0.499997	0	
200	7.8617	4.83003	2.74091	-7.38061e-08	3.21388e-08	0.161	0.0805	0.499997	0	
300	7.3844	4.78488	3.74091	-6.69215e-08	-4.47411e-08	0.161	0.0805	0.499997	0	
400	7.16451	4.35886	4.74091	1.49046e-09	-8.04862e-08	0.161	0.0805	0.499997	0	
500	7.40419	3.94364	5.74091	6.85321e-08	-4.22327e-08	0.161	0.0805	0.499997	0	
600	7.88308	3.92098	0.45772	7.25656e-08	3.48493e-08	0.161	0.0805	0.499997	0	
700	8.16089	4.31171	1.45772	9.88267e-09	7.98911e-08	0.161	0.0805	0.499997	0	
800	7.9822	4.7566	2.45772	-6.18864e-08	5.14813e-08	0.161	0.0805	0.499997	0	
900	7.5113	4.84661	3.45772	-7.67574e-08	-2.42601e-08	0.161	0.0805	0.499997	0	
1000	7.18113	4.49899	4.45772	-2.1058e-08	-7.76969e-08	0.161	0.0805	0.499997	0	
1100	7.29525	4.03335	5.45772	5.4002e-08	-5.96995e-08	0.161	0.0805	0.499997	0	
1200	7.74873	3.87778	0.174534	7.94128e-08	1.31853e-08	0.161	0.0805	0.499997	0	
1300	8.12466	4.17532	1.17453	3.18118e-08	7.39477e-08	0.161	0.0805	0.499997	0	
1400	8.07739	4.65241	2.17453	-4.50368e-08	6.67228e-08	0.161	0.0805	0.499997	0	
1500	7.6504	4.87042	3.17453	-8.04788e-08	-1.84665e-09	0.161	0.0805	0.499997	0	
1600	7.23625	4.62891	4.17453	-4.1929e-08	-6.87183e-08	0.161	0.0805	0.499997	0	
1700	7.21571	4.14992	5.17453	3.51702e-08	-7.24107e-08	0.161	0.0805	0.499997	0	
1800	7.60767	3.87384	6.17453	7.9934e-08	-9.529e-09	0.161	0.0805	0.499997	0	
1900	8.05176	4.05449	0.891349	5.12069e-08	6.21136e-08	0.161	0.0805	0.499997	0	
2000	8.13968	4.52578	1.89135	-2.45996e-08	7.66493e-08	0.161	0.0805	0.499997	0	
